ROUND,MIN,HOME_TEAM,AWAY_TEAM,HOME_PTS,AWAY_PTS,HOME_WIN
33,TBP,MIL,FCB,TBP,TBP,TBP
34,TBP,BER,ASV,TBP,TBP,TBP
34,TBP,EFS,MCO,TBP,TBP,TBP
34,TBP,CZV,FBD,TBP,TBP,TBP
34,TBP,VIR,MIL,TBP,TBP,TBP
34,TBP,FCB,VBC,TBP,TBP,TBP
34,TBP,MTA,RMB,TBP,TBP,TBP
34,TBP,OLY,BSK,TBP,TBP,TBP
34,TBP,PAR,PAO,TBP,TBP,TBP
34,TBP,BAY,ZAL,TBP,TBP,TBP
